2019-06-21 23:49:32,993 [      1]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2019-06-21 23:49:33,113 [    121]   INFO -        #com.intellij.idea.Main - IDE: WebStorm (build #WS-191.7479.14, 27 May 2019 15:16) 
2019-06-21 23:49:33,113 [    121]   INFO -        #com.intellij.idea.Main - OS: Linux (4.18.0-15-generic, amd64) 
2019-06-21 23:49:33,113 [    121]   INFO -        #com.intellij.idea.Main - JRE: 1.8.0_202-release-1483-b53 (JetBrains s.r.o) 
2019-06-21 23:49:33,113 [    121]   INFO -        #com.intellij.idea.Main - JVM: 25.202-b53 (OpenJDK 64-Bit Server VM) 
2019-06-21 23:49:33,125 [    133]   INFO -        #com.intellij.idea.Main - JVM Args: -Xms128m -Xmx750m -XX:ReservedCodeCacheSize=240m -XX:+UseConcMarkSweepGC -XX:SoftRefLRUPolicyMSPerMB=50 -ea -Dsun.io.useCanonCaches=false -Djava.net.preferIPv4Stack=true -Djdk.http.auth.tunneling.disabledSchemes="" -XX:+HeapDumpOnOutOfMemoryError -XX:-OmitStackTraceInFastThrow -Dawt.useSystemAAFontSettings=lcd -Dsun.java2d.renderer=sun.java2d.marlin.MarlinRenderingEngine -Dsun.tools.attach.tmp.only=true -XX:ErrorFile=/home/tu/java_error_in_WEBIDE_%p.log -XX:HeapDumpPath=/home/tu/java_error_in_WEBIDE.hprof -Didea.paths.selector=WebStorm2019.1 -Djb.vmOptionsFile=/snap/webstorm/95/bin/webstorm64.vmoptions -Didea.platform.prefix=WebStorm 
2019-06-21 23:49:33,126 [    134]   INFO -        #com.intellij.idea.Main - ext: /snap/webstorm/95/jre64/lib/ext: [cldrdata.jar, dnsns.jar, jaccess.jar, jfxrt.jar, localedata.jar, meta-index, nashorn.jar, sunec.jar, sunjce_provider.jar, sunpkcs11.jar, zipfs.jar] 
2019-06-21 23:49:33,126 [    134]   INFO -        #com.intellij.idea.Main - charsets: JNU=UTF-8 file=UTF-8 
2019-06-21 23:49:33,157 [    165]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 31 ms 
2019-06-21 23:49:33,660 [    668]   INFO -     #com.intellij.util.ui.JBUI - System scale factor: 1.0 (IDE-managed HiDPI) 
2019-06-21 23:49:33,661 [    669]   INFO -     #com.intellij.util.ui.JBUI - User scale factor: 1.0 
2019-06-21 23:49:47,429 [  14437]   INFO - m.intellij.ui.mac.touchbar.NST - OS doesn't support touchbar, skip nst loading 
2019-06-21 23:49:59,604 [  26612]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor js-nashorn-support.xml 
2019-06-21 23:49:59,850 [  26858]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor uml-properties-support.xml 
2019-06-21 23:49:59,850 [  26858]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor uml-java-support.xml 
2019-06-21 23:50:00,043 [  27051]   INFO - llij.ide.plugins.PluginManager - load plugin descriptors took 904 ms 
2019-06-21 23:50:11,645 [  38653]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor js-nashorn-support.xml 
2019-06-21 23:50:11,684 [  38692]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor uml-properties-support.xml 
2019-06-21 23:50:11,684 [  38692]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor uml-java-support.xml 
2019-06-21 23:50:11,747 [  38755]   INFO - llij.ide.plugins.PluginManager - load plugin descriptors took 175 ms 
2019-06-21 23:50:18,997 [  46005]   INFO - .intellij.idea.IdeaApplication - CPU cores: 4; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@45b98b50[Running, parallelism = 3, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0]; factory: com.intellij.concurrency.IdeaForkJoinWorkerThreadFactory@631c9984 
2019-06-21 23:50:19,022 [  46030]   INFO - .intellij.idea.IdeaApplication - WM detected: GNOME Shell 
2019-06-21 23:50:19,227 [  46235]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor js-nashorn-support.xml 
2019-06-21 23:50:19,313 [  46321]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor uml-properties-support.xml 
2019-06-21 23:50:19,313 [  46321]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor uml-java-support.xml 
2019-06-21 23:50:19,397 [  46405]   INFO - llij.ide.plugins.PluginManager - load plugin descriptors took 229 ms 
2019-06-21 23:50:19,402 [  46410]   INFO - llij.ide.plugins.PluginManager - Plugin 'IntelliJ Configuration Script' can't be loaded because: Plugin does not include any module dependency tags in its plugin.xml therefore is assumed legacy and can be loaded only in IntelliJ IDEA 
2019-06-21 23:50:19,521 [  46529]   INFO - llij.ide.plugins.PluginManager - 59 plugins initialized in 353 ms 
2019-06-21 23:50:19,522 [  46530]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: ASP (191.7479.14), Angular and AngularJS (191.7479.14), CSS Support (191.7479.14), CoffeeScript (191.7479.14), Copyright (191.7479.14), Cucumber.js (191.7479.14), Dart (191.7479.14), Docker integration (191.7479.14), EJS (191.7479.14), EditorConfig (191.7479.14), File Watchers (191.7479.14), Gherkin (191.7479.14), Git Integration (191.7479.14), GitHub (191.7479.14), HTML Tools (191.7479.14), HTTP Client (191.7479.14), Haml (191.7479.14), Handlebars/Mustache (191.7479.14), IDE Settings Sync (191.7479.14), IDEA CORE (191.7479.14), IntelliLang (191.7479.14), Java Server Pages (JSP) Integration (191.7479.14), JavaScript Debugger (191.7479.14), JavaScript Intention Power Pack (191.7479.14), JavaScript Support (191.7479.14), Karma (191.7479.14), Less support (191.7479.14), LiveEdit (191.7479.14), Markdown support (191.7479.14), Mercurial Integration (191.7479.14), Meteor (191.7479.14), Node.js Remote Interpreter (191.7479.14), NodeJS (191.7479.14), Performance Testing (191.7479.14), PhoneGap/Cordova Plugin (191.7479.14), Polymer & Web Components (191.7479.14), Prettier (191.7479.14), Pug (ex-Jade) (191.7479.14), Refactor-X (191.7479.14), Remote Hosts Access (191.7479.14), SSH Remote Run (191.7479.14), Sass support (191.7479.14), Settings Repository (191.7479.14), Spy-js (191.7479.14), Stylus support (191.7479.14), Subversion (191.7479.14), Task Management (191.7479.14), Terminal (191.7479.14), TextMate bundles support (191.7479.14), Time Tracking (191.7479.14), UML Support (191.7479.14), Vagrant (191.7479.14), Vue.js (191.7479.14), W3C Validators (191.7479.14), XPathView + XSLT Support (191.7479.14), YAML (191.7479.14), Yeoman (191.7479.14), tslint (191.7479.14) 
2019-06-21 23:50:19,522 [  46530]   INFO - llij.ide.plugins.PluginManager - Disabled plugins: IntelliJ Configuration Script (191.7479.14) 
2019-06-21 23:50:20,486 [  47494]   INFO - cloudConfig.CloudConfigManager - === Exit: JBA_NOT_FOUND === 
2019-06-21 23:50:20,677 [  47685]   INFO - ellij.vfs.persistent.FSRecords - Marking VFS as corrupted: '/home/tu/.WebStorm2019.1/system/caches/names.dat' does not exist 
2019-06-21 23:50:20,678 [  47686]   INFO - ellij.util.io.PagedFileStorage - lower=100; upper=500; buffer=10; max=705 
2019-06-21 23:50:20,718 [  47726]   INFO - pl.local.NativeFileWatcherImpl - Starting file watcher: /snap/webstorm/95/bin/fsnotifier64 
2019-06-21 23:50:20,744 [  47752]   INFO - pl.local.NativeFileWatcherImpl - Native file watcher is operational. 
2019-06-21 23:50:21,909 [  48917]   INFO - .history.utils.LocalHistoryLog - local history version mismatch (was: 0, expected: 6), rebuilding... 
2019-06-21 23:50:21,909 [  48917]   INFO - .history.utils.LocalHistoryLog - FS has been rebuild, rebuilding local history... 
2019-06-21 23:50:22,319 [  49327]   INFO - til.net.ssl.CertificateManager - Default SSL context initialized 
2019-06-21 23:50:22,385 [  49393]   INFO - tellij.ide.SystemHealthMonitor - restored ignored PIPE handler 
2019-06-21 23:50:22,389 [  49397]   WARN - com.intellij.util.xmlb.Binding - no accessors for interface com.intellij.openapi.extensions.PluginDescriptor 
2019-06-21 23:50:22,435 [  49443]   INFO - rains.ide.BuiltInServerManager - built-in server started, port 63342 
2019-06-21 23:50:22,525 [  49533]   INFO - gs.impl.UpdateCheckerComponent - channel: release 
2019-06-21 23:50:23,027 [  50035]   INFO - il.indexing.FileBasedIndexImpl - Index exts enumerated:347, number of extensions:40 
2019-06-21 23:50:23,052 [  50060]   INFO - il.indexing.FileBasedIndexImpl - Index scheduled:25 
2019-06-21 23:50:23,080 [  50088]   INFO - il.indexing.FileBasedIndexImpl - Index FilenameIndex will be built. 
2019-06-21 23:50:23,167 [  50175]   INFO - il.indexing.FileBasedIndexImpl - Index filetypes will be built. 
2019-06-21 23:50:23,213 [  50221]   INFO - il.indexing.FileBasedIndexImpl - Index FrameworkDetectionIndex will be built. 
2019-06-21 23:50:23,273 [  50281]   INFO - il.indexing.FileBasedIndexImpl - Index TodoIndex will be built. 
2019-06-21 23:50:23,366 [  50374]   INFO - tellij.psi.stubs.StubIndexImpl - All stub exts enumerated:307, number of extensions:74 
2019-06-21 23:50:23,367 [  50375]   INFO - tellij.psi.stubs.StubIndexImpl - stub exts update scheduled:0 
2019-06-21 23:50:23,429 [  50437]   INFO - pi.util.registry.RegistryValue - Registry value 'ide.tooltip.show.with.actions' has changed to 'true' 
2019-06-21 23:50:23,519 [  50527]   INFO - il.indexing.FileBasedIndexImpl - Index IdIndex will be built. 
2019-06-21 23:50:23,544 [  50552]   INFO - il.indexing.FileBasedIndexImpl - Index Stubs will be built. 
2019-06-21 23:50:23,846 [  50854]   INFO - plication.impl.ApplicationImpl - 72 application components initialized in 4684ms 
2019-06-21 23:50:23,880 [  50888]   INFO - .intellij.idea.IdeaApplication - App initialization took 53696 ms 
2019-06-21 23:50:24,032 [  51040]   INFO - ij.psi.stubs.StubUpdatingIndex - Following new file types will be indexed:ECMAScript 6,TypeScript JSX,Flow,HTML,Spacebars,EJS,CoffeeScript,Literate CoffeeScript,Sass,Stylus,SCSS,Handlebars/Mustache,Less,CSS,ActionScript,TypeScript,JavaScript,Vue.js,JSP,Jade,Angular Metadata JSON,Markdown,JSX Harmony,Angular2Html,XML 
2019-06-21 23:50:24,153 [  51161]   INFO - il.indexing.FileBasedIndexImpl - Index Trigram.Index will be built. 
2019-06-21 23:50:24,169 [  51177]   INFO - j.ide.ui.OptionsTopHitProvider - 1877 ms spent to cache options in application 
2019-06-21 23:50:24,170 [  51178]   INFO - .openapi.application.Preloader - com.intellij.ide.ui.OptionsTopHitProvider$Activity took 1877 ms 
2019-06-21 23:50:24,223 [  51231]   INFO - il.indexing.FileBasedIndexImpl - Index fileIncludes will be built. 
2019-06-21 23:50:24,287 [  51295]   INFO - il.indexing.FileBasedIndexImpl - Index DomFileIndex will be built. 
2019-06-21 23:50:24,290 [  51298]   INFO - il.indexing.FileBasedIndexImpl - Index RelaxSymbolIndex will be built. 
2019-06-21 23:50:24,297 [  51305]   INFO - il.indexing.FileBasedIndexImpl - Index XmlTagNames will be built. 
2019-06-21 23:50:24,301 [  51309]   INFO - il.indexing.FileBasedIndexImpl - Index XmlNamespaces will be built. 
2019-06-21 23:50:24,306 [  51314]   INFO - il.indexing.FileBasedIndexImpl - Index html5.custom.attributes.index will be built. 
2019-06-21 23:50:24,309 [  51317]   INFO - il.indexing.FileBasedIndexImpl - Index SchemaTypeInheritance will be built. 
2019-06-21 23:50:24,318 [  51326]   INFO - il.indexing.FileBasedIndexImpl - Index ImageFileInfoIndex will be built. 
2019-06-21 23:50:24,322 [  51330]   INFO - il.indexing.FileBasedIndexImpl - Index json.file.root.values will be built. 
2019-06-21 23:50:24,336 [  51344]   INFO - il.indexing.FileBasedIndexImpl - Index HtmlTagIdIndex will be built. 
2019-06-21 23:50:24,357 [  51365]   INFO - il.indexing.FileBasedIndexImpl - Index XsltSymbolIndex will be built. 
2019-06-21 23:50:24,370 [  51378]   INFO - il.indexing.FileBasedIndexImpl - Index CssIndex will be built. 
2019-06-21 23:50:24,385 [  51393]   INFO - il.indexing.FileBasedIndexImpl - Index css.template.selectors will be built. 
2019-06-21 23:50:24,388 [  51396]   INFO - il.indexing.FileBasedIndexImpl - Index editorconfig.index.name will be built. 
2019-06-21 23:50:24,395 [  51403]   INFO - il.indexing.FileBasedIndexImpl - Index CompassFunctionsIndex will be built. 
2019-06-21 23:50:24,428 [  51436]   INFO - il.indexing.FileBasedIndexImpl - Index js.test.names will be built. 
2019-06-21 23:50:24,449 [  51457]   INFO - il.indexing.FileBasedIndexImpl - Index js.package.index will be built. 
2019-06-21 23:50:24,452 [  51460]   INFO - il.indexing.FileBasedIndexImpl - Index js.custom.single.entry.index will be built. 
2019-06-21 23:50:24,462 [  51470]   INFO - il.indexing.FileBasedIndexImpl - Index js.implicit.elements.index will be built. 
2019-06-21 23:50:24,468 [  51476]   INFO - il.indexing.FileBasedIndexImpl - Index angularjs.template.cache will be built. 
2019-06-21 23:50:24,472 [  51480]   INFO - il.indexing.FileBasedIndexImpl - Index angularjs.ui.router.views.index will be built. 
2019-06-21 23:50:24,475 [  51483]   INFO - il.indexing.FileBasedIndexImpl - Index angularjs.app.index will be built. 
2019-06-21 23:50:24,477 [  51485]   INFO - il.indexing.FileBasedIndexImpl - Index WebComponentsIndex will be built. 
2019-06-21 23:50:24,480 [  51488]   INFO - il.indexing.FileBasedIndexImpl - Index MeteorTemplateIndex will be built. 
